Kode Kota;Nama Kota
1;Jakarta Outer Ring Road
2;Jakarta
3;Cikampek
4;Cikopo
5;Palimanan
6;Kanci
7;Pejagan
8;Pemalang
9;Batang
10;Semarang (Kaliangkung)
11;Semarang ABC
12;Solo
